HAMILTON
0 - 0:142.988, 1(Clear)(-0)
0 - 1:146.005, 1(Clear)(-0)
0 - 2:133.785, 1(Clear)(-0)
0 - 3:93.493, 1(Clear)(-0)
0 - 4:92.76499, 1(Clear)(-0)
0 - 5:92.685, 1(Clear)(-0)
0 - 6:92.59299, 1(Clear)(-0)
0 - 7:92.899, 1(Clear)(-0)
0 - 8:92.933, 1(Clear)(-0)
0 - 9:92.911, 1(Clear)(-0)
0 - 10:92.742, 1(Clear)(-0)
0 - 11:92.432, 1(Clear)(-0)
0 - 12:92.491, 1(Clear)(-0)
0 - 13:93.033, 1(Clear)(-0)
0 - 14:93.177, 1(Clear)(-0)
0 - 15:92.45801, 1(Clear)(-0)
0 - 16:92.148, 1(Clear)(-0)
0 - 17:92.462, 1(Clear)(-0)
0 - 18:92.34701, 1(Clear)(-0)
0 - 19:92.306, 1(Clear)(-0)
0 - 20:91.94, 1(Clear)(-0)
0 - 21:92.405, 1(Clear)(-0)
0 - 22:92.79099, 1(Clear)(-0)
0 - 23:92.925, 1(Clear)(-0)
0 - 24:111.204, 2(Clear)(-0)
0 - 25:99.012, 0(Clear)(-0)
0 - 26:93.021, 1(Clear)(-0)
0 - 27:93.241, 1(Clear)(-0)
0 - 28:92.824, 1(Clear)(-0)
0 - 29:92.005, 1(Clear)(-0)
0 - 30:91.67599, 1(Clear)(-0)
0 - 31:91.953, 1(Clear)(-0)
0 - 32:91.875, 1(Clear)(-0)
0 - 33:93.071, 1(Clear)(-0)
0 - 34:91.995, 1(Clear)(-0)
0 - 35:91.562, 1(Clear)(-0)
0 - 36:91.514, 1(Clear)(-0)
0 - 37:91.134, 1(Clear)(-0)
0 - 38:91.208, 1(Clear)(-0)
0 - 39:91.825, 1(Clear)(-0)
0 - 40:91.34701, 1(Clear)(-0)
0 - 41:91.982, 1(Clear)(-0)
0 - 42:91.541, 1(Clear)(-0)
0 - 43:91.69299, 1(Clear)(-0)
0 - 44:91.229, 1(Clear)(-0)
0 - 45:91.177, 1(Clear)(-0)
0 - 46:91.649, 1(Clear)(-0)
0 - 47:91.22399, 1(Clear)(-0)
0 - 48:91.02299, 1(Clear)(-0)
0 - 49:90.945, 1(Clear)(-0)
0 - 50:91.804, 1(Clear)(-0)
0 - 51:92.242, 1(Clear)(-0)
0 - 52:91.708, 1(Clear)(-0)
0 - 53:91.27299, 1(Clear)(-0)
0 - 54:91.35801, 1(Clear)(-0)
0 - 55:90.993, 1(Clear)(-0)
0 - 56:91.4, 1(Clear)(-0)
0 - 57:91.645, 1(Clear)(-0)
ROSBERG
1 - 0:144.35, 1(Clear)(-0)
1 - 1:145.242, 1(Clear)(-0)
1 - 2:134.42, 1(Clear)(-0)
1 - 3:94.638, 1(Clear)(-0)
1 - 4:93.068, 1(Clear)(-0)
1 - 5:92.371, 1(Clear)(-0)
1 - 6:92.827, 1(Clear)(-0)
1 - 7:92.46, 1(Clear)(-0)
1 - 8:92.38, 1(Clear)(-0)
1 - 9:92.572, 1(Clear)(-0)
1 - 10:93.184, 1(Clear)(-0)
1 - 11:92.65, 1(Clear)(-0)
1 - 12:92.752, 1(Clear)(-0)
1 - 13:92.93, 1(Clear)(-0)
1 - 14:93.576, 1(Clear)(-0)
1 - 15:92.324, 1(Clear)(-0)
1 - 16:92.3, 1(Clear)(-0)
1 - 17:92.365, 1(Clear)(-0)
1 - 18:92.243, 1(Clear)(-0)
1 - 19:92.42599, 1(Clear)(-0)
1 - 20:92.454, 1(Clear)(-0)
1 - 21:93.011, 1(Clear)(-0)
1 - 22:92.94801, 1(Clear)(-0)
1 - 23:93.048, 1(Clear)(-0)
1 - 24:93.964, 1(Clear)(-0)
1 - 25:111.568, 2(Clear)(-0)
