HAMILTON
0 - 0:93.767, 1(Clear)(-0)
0 - 1:138.219, 1(Clear)(-0)
0 - 2:124.973, 1(Clear)(-0)
0 - 3:118.053, 1(Clear)(-0)
0 - 4:113.486, 1(Clear)(-0)
0 - 5:109.741, 1(Clear)(-0)
0 - 6:74.44, 1(Clear)(-0)
0 - 7:73.244, 1(Clear)(-0)
0 - 8:73.034, 1(Clear)(-0)
0 - 9:72.76199, 1(Clear)(-0)
0 - 10:72.242, 1(Clear)(-0)
0 - 11:72.23299, 1(Clear)(-0)
0 - 12:72.22199, 1(Clear)(-0)
0 - 13:72.401, 1(Clear)(-0)
0 - 14:72.33, 1(Clear)(-0)
0 - 15:72.342, 1(Clear)(-0)
0 - 16:72.25999, 1(Clear)(-0)
0 - 17:72.217, 1(Clear)(-0)
0 - 18:72.145, 1(Clear)(-0)
0 - 19:72.6, 1(Clear)(-0)
0 - 20:72.484, 1(Clear)(-0)
0 - 21:72.392, 1(Clear)(-0)
0 - 22:72.412, 1(Clear)(-0)
0 - 23:73.301, 1(Clear)(-0)
0 - 24:72.703, 1(Clear)(-0)
0 - 25:72.84801, 1(Clear)(-0)
0 - 26:72.615, 1(Clear)(-0)
0 - 27:72.654, 1(Clear)(-0)
0 - 28:72.464, 1(Clear)(-0)
0 - 29:72.88801, 1(Clear)(-0)
0 - 30:72.437, 1(Clear)(-0)
0 - 31:72.62399, 1(Clear)(-0)
0 - 32:72.906, 1(Clear)(-0)
0 - 33:72.543, 1(Clear)(-0)
0 - 34:75.964, 2(Clear)(-0)
0 - 35:90.436, 0(Clear)(-0)
0 - 36:72.278, 1(Clear)(-0)
0 - 37:72.424, 1(Clear)(-0)
0 - 38:71.821, 1(Clear)(-0)
0 - 39:72.33701, 1(Clear)(-0)
0 - 40:72.428, 1(Clear)(-0)
0 - 41:72.481, 1(Clear)(-0)
0 - 42:71.98901, 1(Clear)(-0)
0 - 43:72.336, 1(Clear)(-0)
0 - 44:71.76299, 1(Clear)(-0)
0 - 45:72.06499, 1(Clear)(-0)
0 - 46:71.916, 1(Clear)(-0)
0 - 47:71.69199, 1(Clear)(-0)
0 - 48:71.91901, 1(Clear)(-0)
0 - 49:72.054, 1(Clear)(-0)
0 - 50:72.41901, 1(Clear)(-0)
0 - 51:71.895, 1(Clear)(-0)
0 - 52:71.869, 1(Clear)(-0)
0 - 53:71.902, 1(Clear)(-0)
0 - 54:71.684, 1(Clear)(-0)
0 - 55:71.741, 1(Clear)(-0)
0 - 56:72.153, 1(Clear)(-0)
0 - 57:71.85201, 1(Clear)(-0)
0 - 58:71.70599, 1(Clear)(-0)
0 - 59:71.475, 1(Clear)(-0)
0 - 60:71.514, 1(Clear)(-0)
0 - 61:71.758, 1(Clear)(-0)
0 - 62:71.928, 1(Clear)(-0)
0 - 63:72.287, 1(Clear)(-0)
0 - 64:71.881, 1(Clear)(-0)
0 - 65:72.011, 1(Clear)(-0)
0 - 66:72.075, 1(Clear)(-0)
0 - 67:72.167, 1(Clear)(-0)
0 - 68:72.255, 1(Clear)(-0)
0 - 69:72.197, 1(Clear)(-0)
0 - 70:74.076, 1(Clear)(-0)
ROSBERG
1 - 0:92.902, 1(Clear)(-0)
1 - 1:137.155, 1(Clear)(-0)
1 - 2:125.597, 1(Clear)(-0)
1 - 3:118.402, 1(Clear)(-0)
1 - 4:113.637, 1(Clear)(-0)
1 - 5:109.873, 1(Clear)(-0)
1 - 6:73.607, 1(Clear)(-0)
1 - 7:73.177, 1(Clear)(-0)
1 - 8:72.629, 1(Clear)(-0)
1 - 9:72.41901, 1(Clear)(-0)
1 - 10:72.15701, 1(Clear)(-0)
1 - 11:72.509, 1(Clear)(-0)
1 - 12:72.345, 1(Clear)(-0)
1 - 13:72.506, 1(Clear)(-0)
1 - 14:72.38901, 1(Clear)(-0)
1 - 15:72.466, 1(Clear)(-0)
1 - 16:72.173, 1(Clear)(-0)
1 - 17:72.184, 1(Clear)(-0)
1 - 18:72.001, 1(Clear)(-0)
1 - 19:72.182, 1(Clear)(-0)
1 - 20:72.271, 1(Clear)(-0)
1 - 21:72.131, 1(Clear)(-0)
1 - 22:72.373, 1(Clear)(-0)
1 - 23:72.144, 1(Clear)(-0)
1 - 24:72.48701, 1(Clear)(-0)
1 - 25:73.139, 1(Clear)(-0)
1 - 26:72.77, 1(Clear)(-0)
1 - 27:72.94801, 1(Clear)(-0)
1 - 28:72.785, 1(Clear)(-0)
1 - 29:72.876, 1(Clear)(-0)
1 - 30:72.914, 1(Clear)(-0)
1 - 31:73.175, 1(Clear)(-0)
1 - 32:77.16, 2(Clear)(-0)
1 - 33:89.701, 0(Clear)(-0)
1 - 34:71.23499, 1(Clear)(-0)
1 - 35:71.66399, 1(Clear)(-0)
1 - 36:71.973, 1(Clear)(-0)
1 - 37:71.70499, 1(Clear)(-0)
1 - 38:71.68999, 1(Clear)(-0)
1 - 39:72.144, 1(Clear)(-0)
1 - 40:72.15, 1(Clear)(-0)
1 - 41:72.05801, 1(Clear)(-0)
1 - 42:72.211, 1(Clear)(-0)
1 - 43:71.991, 1(Clear)(-0)
1 - 44:71.445, 1(Clear)(-0)
1 - 45:71.821, 1(Clear)(-0)
1 - 46:71.933, 1(Clear)(-0)
1 - 47:72.144, 1(Clear)(-0)
1 - 48:71.73599, 1(Clear)(-0)
1 - 49:72.303, 1(Clear)(-0)
1 - 50:72.493, 1(Clear)(-0)
1 - 51:71.81001, 1(Clear)(-0)
1 - 52:72.071, 1(Clear)(-0)
1 - 53:72.001, 1(Clear)(-0)
1 - 54:71.826, 1(Clear)(-0)
1 - 55:71.816, 1(Clear)(-0)
1 - 56:71.667, 1(Clear)(-0)
1 - 57:71.93, 1(Clear)(-0)
1 - 58:71.73199, 1(Clear)(-0)
1 - 59:71.76399, 1(Clear)(-0)
1 - 60:71.91, 1(Clear)(-0)
1 - 61:72.247, 1(Clear)(-0)
1 - 62:72.072, 1(Clear)(-0)
1 - 63:71.928, 1(Clear)(-0)
1 - 64:72.013, 1(Clear)(-0)
1 - 65:72.30801, 1(Clear)(-0)
1 - 66:72.411, 1(Clear)(-0)
1 - 67:72.269, 1(Clear)(-0)
1 - 68:72.564, 1(Clear)(-0)
1 - 69:74.18999, 1(Clear)(-0)
1 - 70:72.521, 1(Clear)(-0)
MASSA
2 - 0:96.37701, 1(Clear)(-0)
2 - 1:137.878, 1(Clear)(-0)
2 - 2:124.494, 1(Clear)(-0)
2 - 3:118.524, 1(Clear)(-0)
2 - 4:113.417, 1(Clear)(-0)
2 - 5:108.618, 1(Clear)(-0)
2 - 6:75.702, 1(Clear)(-0)
2 - 7:73.986, 1(Clear)(-0)
2 - 8:73.652, 1(Clear)(-0)
2 - 9:73.258, 1(Clear)(-0)
2 - 10:73.028, 1(Clear)(-0)
2 - 11:72.943, 1(Clear)(-0)
2 - 12:72.986, 1(Clear)(-0)
2 - 13:73.037, 1(Clear)(-0)
2 - 14:72.783, 1(Clear)(-0)
2 - 15:73.116, 1(Clear)(-0)
2 - 16:72.62, 1(Clear)(-0)
2 - 17:72.642, 1(Clear)(-0)
2 - 18:72.684, 1(Clear)(-0)
2 - 19:72.981, 1(Clear)(-0)
2 - 20:73.068, 1(Clear)(-0)
2 - 21:72.968, 1(Clear)(-0)
2 - 22:72.748, 1(Clear)(-0)
2 - 23:72.77599, 1(Clear)(-0)
2 - 24:73.332, 1(Clear)(-0)
2 - 25:72.969, 1(Clear)(-0)
2 - 26:73.342, 1(Clear)(-0)
2 - 27:73.17, 1(Clear)(-0)
2 - 28:73.142, 1(Clear)(-0)
2 - 29:73.454, 1(Clear)(-0)
2 - 30:73.177, 1(Clear)(-0)
2 - 31:73.661, 1(Clear)(-0)
2 - 32:73.77, 1(Clear)(-0)
2 - 33:77.152, 2(Clear)(-0)
2 - 34:90.56499, 0(Clear)(-0)
2 - 35:72.20399, 1(Clear)(-0)
2 - 36:72.097, 1(Clear)(-0)
2 - 37:72.001, 1(Clear)(-0)
2 - 38:71.98801, 1(Clear)(-0)
2 - 39:71.937, 1(Clear)(-0)
2 - 40:72.002, 1(Clear)(-0)
2 - 41:71.906, 1(Clear)(-0)
2 - 42:71.88901, 1(Clear)(-0)
2 - 43:71.969, 1(Clear)(-0)
2 - 44:71.841, 1(Clear)(-0)
2 - 45:71.939, 1(Clear)(-0)
2 - 46:72.346, 1(Clear)(-0)
2 - 47:72.131, 1(Clear)(-0)
2 - 48:71.999, 1(Clear)(-0)
2 - 49:72.19099, 1(Clear)(-0)
2 - 50:71.79099, 1(Clear)(-0)
2 - 51:71.983, 1(Clear)(-0)
2 - 52:72.09, 1(Clear)(-0)
2 - 53:71.69199, 1(Clear)(-0)
2 - 54:72.103, 1(Clear)(-0)
2 - 55:71.684, 1(Clear)(-0)
2 - 56:71.685, 1(Clear)(-0)
2 - 57:71.613, 1(Clear)(-0)
2 - 58:71.894, 1(Clear)(-0)
2 - 59:71.786, 1(Clear)(-0)
2 - 60:72.247, 1(Clear)(-0)
2 - 61:71.897, 1(Clear)(-0)
2 - 62:71.831, 1(Clear)(-0)
2 - 63:71.633, 1(Clear)(-0)
2 - 64:71.81901, 1(Clear)(-0)
2 - 65:72.011, 1(Clear)(-0)
2 - 66:72.44901, 1(Clear)(-0)
2 - 67:71.854, 1(Clear)(-0)
2 - 68:71.687, 1(Clear)(-0)
2 - 69:72.13599, 1(Clear)(-0)
2 - 70:72.158, 1(Clear)(-0)
BOTTAS
3 - 0:99.65701, 1(Clear)(-0)
3 - 1:138.218, 1(Clear)(-0)
3 - 2:124.035, 1(Clear)(-0)
3 - 3:119.005, 1(Clear)(-0)
3 - 4:112.664, 1(Clear)(-0)
3 - 5:106.724, 1(Clear)(-0)
3 - 6:76.416, 1(Clear)(-0)
3 - 7:74.84701, 1(Clear)(-0)
3 - 8:73.599, 1(Clear)(-0)
3 - 9:73.48, 1(Clear)(-0)
3 - 10:73.603, 1(Clear)(-0)
3 - 11:73.438, 1(Clear)(-0)
3 - 12:73.128, 1(Clear)(-0)
3 - 13:73.545, 1(Clear)(-0)
3 - 14:73.43, 1(Clear)(-0)
3 - 15:73.08, 1(Clear)(-0)
3 - 16:73.13, 1(Clear)(-0)
3 - 17:73.089, 1(Clear)(-0)
3 - 18:73.154, 1(Clear)(-0)
3 - 19:73.092, 1(Clear)(-0)
3 - 20:73.43, 1(Clear)(-0)
3 - 21:72.973, 1(Clear)(-0)
3 - 22:73.327, 1(Clear)(-0)
3 - 23:73.311, 1(Clear)(-0)
3 - 24:72.94, 1(Clear)(-0)
3 - 25:76.073, 2(Clear)(-0)
3 - 26:92.071, 0(Clear)(-0)
3 - 27:73.1, 1(Clear)(-0)
3 - 28:72.998, 1(Clear)(-0)
3 - 29:72.674, 1(Clear)(-0)
3 - 30:72.619, 1(Clear)(-0)
3 - 31:72.84901, 1(Clear)(-0)
3 - 32:73.006, 1(Clear)(-0)
3 - 33:73.38901, 1(Clear)(-0)
3 - 34:73.398, 1(Clear)(-0)
3 - 35:74.611, 1(Clear)(-0)
3 - 36:73.35701, 1(Clear)(-0)
3 - 37:74.324, 1(Clear)(-0)
3 - 38:73.119, 1(Clear)(-0)
3 - 39:72.916, 1(Clear)(-0)
3 - 40:73.19099, 1(Clear)(-0)
3 - 41:72.80901, 1(Clear)(-0)
3 - 42:72.74599, 1(Clear)(-0)
3 - 43:72.506, 1(Clear)(-0)
3 - 44:72.892, 1(Clear)(-0)
3 - 45:73.469, 1(Clear)(-0)
3 - 46:72.682, 1(Clear)(-0)
