HAMILTON
0 - 0:101.39, 1(Clear)(-0)
0 - 1:98.955, 1(Clear)(-0)
0 - 2:99.257, 1(Clear)(-0)
0 - 3:99.602, 1(Clear)(-0)
0 - 4:100.081, 1(Clear)(-0)
0 - 5:100.006, 1(Clear)(-0)
0 - 6:100.156, 1(Clear)(-0)
0 - 7:100.159, 1(Clear)(-0)
0 - 8:100.447, 1(Clear)(-0)
0 - 9:100.307, 1(Clear)(-0)
0 - 10:100.368, 1(Clear)(-0)
0 - 11:101.363, 1(Clear)(-0)
0 - 12:100.781, 1(Clear)(-0)
0 - 13:101.123, 1(Clear)(-0)
0 - 14:103.877, 2(Clear)(-0)
0 - 15:119.67, 0(Clear)(-0)
0 - 16:98.145, 1(Clear)(-0)
0 - 17:99.061, 1(Clear)(-0)
0 - 18:99.284, 1(Clear)(-0)
0 - 19:99.394, 1(Clear)(-0)
0 - 20:98.81901, 1(Clear)(-0)
0 - 21:99.02299, 1(Clear)(-0)
0 - 22:99.085, 1(Clear)(-0)
0 - 23:99.161, 1(Clear)(-0)
0 - 24:98.91901, 1(Clear)(-0)
0 - 25:99.185, 1(Clear)(-0)
0 - 26:99.408, 1(Clear)(-0)
0 - 27:99.356, 1(Clear)(-0)
0 - 28:99.453, 1(Clear)(-0)
0 - 29:99.533, 1(Clear)(-0)
0 - 30:99.451, 1(Clear)(-0)
0 - 31:99.551, 1(Clear)(-0)
0 - 32:102.217, 2(Clear)(-0)
0 - 33:118.791, 0(Clear)(-0)
0 - 34:98.217, 1(Clear)(-0)
0 - 35:98.242, 1(Clear)(-0)
0 - 36:97.906, 1(Clear)(-0)
0 - 37:97.85701, 1(Clear)(-0)
0 - 38:99.009, 1(Clear)(-0)
0 - 39:99.29099, 1(Clear)(-0)
0 - 40:99.119, 1(Clear)(-0)
0 - 41:98.921, 1(Clear)(-0)
0 - 42:98.83701, 1(Clear)(-0)
0 - 43:98.592, 1(Clear)(-0)
0 - 44:98.59599, 1(Clear)(-0)
0 - 45:98.533, 1(Clear)(-0)
0 - 46:98.35901, 1(Clear)(-0)
0 - 47:98.505, 1(Clear)(-0)
0 - 48:98.187, 1(Clear)(-0)
0 - 49:98.075, 1(Clear)(-0)
0 - 50:98.585, 1(Clear)(-0)
0 - 51:98.91801, 1(Clear)(-0)
0 - 52:98.928, 1(Clear)(-0)
0 - 53:98.716, 1(Clear)(-0)
0 - 54:98.654, 1(Clear)(-0)
0 - 55:99.537, 1(Clear)(-0)
0 - 56:100.847, 1(Clear)(-0)
ROSBERG
1 - 0:103.381, 1(Clear)(-0)
