HAMILTON
0 - 0:117.421, 1(Clear)(-0)
0 - 1:116.039, 1(Clear)(-0)
0 - 2:116.017, 1(Clear)(-0)
0 - 3:115.782, 1(Clear)(-0)
0 - 4:115.735, 1(Clear)(-0)
0 - 5:115.722, 1(Clear)(-0)
0 - 6:116.18, 1(Clear)(-0)
0 - 7:116.122, 1(Clear)(-0)
0 - 8:116.44, 1(Clear)(-0)
0 - 9:117.096, 1(Clear)(-0)
0 - 10:116.828, 1(Clear)(-0)
0 - 11:117.073, 1(Clear)(-0)
0 - 12:121.494, 2(Clear)(-0)
0 - 13:128.998, 0(Clear)(-0)
0 - 14:114.938, 1(Clear)(-0)
0 - 15:114.679, 1(Clear)(-0)
0 - 16:114.861, 1(Clear)(-0)
0 - 17:114.827, 1(Clear)(-0)
0 - 18:115.241, 1(Clear)(-0)
0 - 19:115.751, 1(Clear)(-0)
0 - 20:137.948, 1(Clear)(-0)
0 - 21:128.694, 1(Clear)(-0)
0 - 22:115.33, 1(Clear)(-0)
0 - 23:114.673, 1(Clear)(-0)
0 - 24:114.315, 1(Clear)(-0)
0 - 25:114.55, 1(Clear)(-0)
0 - 26:114.88, 1(Clear)(-0)
0 - 27:114.443, 1(Clear)(-0)
0 - 28:114.844, 1(Clear)(-0)
0 - 29:120.323, 2(Clear)(-0)
0 - 30:127.623, 0(Clear)(-0)
0 - 31:113.893, 1(Clear)(-0)
0 - 32:113.188, 1(Clear)(-0)
0 - 33:112.504, 1(Clear)(-0)
0 - 34:112.766, 1(Clear)(-0)
0 - 35:112.748, 1(Clear)(-0)
0 - 36:113.774, 1(Clear)(-0)
0 - 37:113.973, 1(Clear)(-0)
0 - 38:114.125, 1(Clear)(-0)
0 - 39:114.131, 1(Clear)(-0)
0 - 40:114.222, 1(Clear)(-0)
0 - 41:114.799, 1(Clear)(-0)
0 - 42:115.397, 1(Retire)(-0)
ROSBERG
1 - 0:121.269, 1(Clear)(-0)
1 - 1:116.746, 1(Clear)(-0)
1 - 2:116.292, 1(Clear)(-0)
1 - 3:116.42, 1(Clear)(-0)
1 - 4:116.695, 1(Clear)(-0)
1 - 5:116.149, 1(Clear)(-0)
1 - 6:116.726, 1(Clear)(-0)
1 - 7:117.298, 1(Clear)(-0)
1 - 8:116.194, 1(Clear)(-0)
1 - 9:116.292, 1(Clear)(-0)
1 - 10:116.589, 1(Clear)(-0)
1 - 11:121.136, 2(Clear)(-0)
1 - 12:128.295, 0(Clear)(-0)
1 - 13:114.948, 1(Clear)(-0)
1 - 14:114.264, 1(Clear)(-0)
1 - 15:114.664, 1(Clear)(-0)
1 - 16:114.638, 1(Clear)(-0)
1 - 17:114.921, 1(Clear)(-0)
1 - 18:115.454, 1(Clear)(-0)
1 - 19:115.736, 1(Clear)(-0)
1 - 20:137.663, 1(Clear)(-0)
1 - 21:127.776, 1(Clear)(-0)
1 - 22:115.676, 1(Clear)(-0)
1 - 23:115.326, 1(Clear)(-0)
1 - 24:115.194, 1(Clear)(-0)
1 - 25:115.24, 1(Clear)(-0)
1 - 26:115.08, 1(Clear)(-0)
1 - 27:114.798, 1(Clear)(-0)
1 - 28:114.971, 1(Clear)(-0)
1 - 29:116.163, 1(Clear)(-0)
1 - 30:120.17, 2(Clear)(-0)
1 - 31:125.678, 0(Clear)(-0)
1 - 32:112.669, 1(Clear)(-0)
1 - 33:112.416, 1(Clear)(-0)
1 - 34:112.559, 1(Clear)(-0)
1 - 35:112.511, 1(Clear)(-0)
1 - 36:113.556, 1(Clear)(-0)
1 - 37:113.96, 1(Clear)(-0)
1 - 38:113.806, 1(Clear)(-0)
1 - 39:114.122, 1(Clear)(-0)
1 - 40:114.073, 1(Clear)(-0)
1 - 41:114.134, 1(Clear)(-0)
1 - 42:114.178, 1(Retire)(-0)
MASSA
2 - 0:123.254, 1(Clear)(-0)
2 - 1:118.074, 1(Clear)(-0)
2 - 2:116.968, 1(Clear)(-0)
2 - 3:117.413, 1(Clear)(-0)
2 - 4:117.948, 1(Clear)(-0)
2 - 5:118.673, 1(Clear)(-0)
2 - 6:118.346, 1(Clear)(-0)
2 - 7:119.074, 1(Clear)(-0)
2 - 8:122.936, 2(Clear)(-0)
2 - 9:130.819, 0(Clear)(-0)
2 - 10:116.237, 1(Clear)(-0)
2 - 11:116.266, 1(Clear)(-0)
2 - 12:116.424, 1(Clear)(-0)
2 - 13:116.687, 1(Clear)(-0)
2 - 14:116.1, 1(Clear)(-0)
2 - 15:116.075, 1(Clear)(-0)
2 - 16:116.404, 1(Clear)(-0)
2 - 17:117.104, 1(Clear)(-0)
2 - 18:116.43, 1(Clear)(-0)
2 - 19:116.654, 1(Clear)(-0)
2 - 20:149.69, 2(Clear)(-0)
2 - 21:129.009, 0(Clear)(-0)
2 - 22:114.093, 1(Clear)(-0)
2 - 23:114.738, 1(Clear)(-0)
2 - 24:114.935, 1(Clear)(-0)
2 - 25:115.158, 1(Clear)(-0)
2 - 26:114.866, 1(Clear)(-0)
2 - 27:115.075, 1(Clear)(-0)
2 - 28:114.907, 1(Clear)(-0)
2 - 29:114.83, 1(Clear)(-0)
2 - 30:115.46, 1(Clear)(-0)
2 - 31:115.139, 1(Clear)(-0)
2 - 32:115.488, 1(Clear)(-0)
2 - 33:115.18, 1(Clear)(-0)
2 - 34:115.361, 1(Clear)(-0)
2 - 35:115.767, 1(Clear)(-0)
2 - 36:115.821, 1(Clear)(-0)
2 - 37:116.212, 1(Clear)(-0)
