HAMILTON
0 - 0:117.101, 1(Clear)(-0)
0 - 1:154.074, 1(Clear)(-0)
0 - 2:146.869, 1(Clear)(-0)
0 - 3:101.877, 1(Clear)(-0)
0 - 4:100.474, 1(Clear)(-0)
0 - 5:99.76499, 1(Clear)(-0)
0 - 6:99.29299, 1(Clear)(-0)
0 - 7:99.31901, 1(Clear)(-0)
0 - 8:99.567, 1(Clear)(-0)
0 - 9:99.29099, 1(Clear)(-0)
0 - 10:99.481, 1(Clear)(-0)
0 - 11:99.871, 1(Clear)(-0)
0 - 12:99.34901, 1(Clear)(-0)
0 - 13:99.56599, 1(Clear)(-0)
0 - 14:99.35701, 1(Clear)(-0)
0 - 15:99.398, 1(Clear)(-0)
0 - 16:99.47, 1(Clear)(-0)
0 - 17:99.83801, 1(Clear)(-0)
0 - 18:97.846, 2(Clear)(-0)
0 - 19:116.349, 0(Clear)(-0)
0 - 20:97.27399, 1(Clear)(-0)
0 - 21:97.227, 1(Clear)(-0)
0 - 22:97.501, 1(Clear)(-0)
0 - 23:97.187, 1(Clear)(-0)
0 - 24:97.35801, 1(Clear)(-0)
0 - 25:97.344, 1(Clear)(-0)
0 - 26:97.69499, 1(Clear)(-0)
0 - 27:97.416, 1(Clear)(-0)
0 - 28:97.09299, 1(Clear)(-0)
0 - 29:97.356, 1(Clear)(-0)
0 - 30:97.149, 1(Clear)(-0)
0 - 31:97.12499, 1(Clear)(-0)
0 - 32:97.465, 1(Clear)(-0)
0 - 33:132.759, 1(Clear)(-0)
0 - 34:118.039, 1(Clear)(-0)
0 - 35:98.068, 1(Clear)(-0)
0 - 36:97.6, 1(Clear)(-0)
0 - 37:109.338, 1(Clear)(-0)
0 - 38:109.591, 1(Clear)(-0)
0 - 39:103.748, 1(Clear)(-0)
0 - 40:103.864, 1(Clear)(-0)
0 - 41:101.184, 1(Clear)(-0)
0 - 42:101.16, 2(Clear)(-0)
0 - 43:129.721, 0(Clear)(-0)
0 - 44:112.659, 1(Clear)(-0)
0 - 45:111.473, 1(Clear)(-0)
0 - 46:110.676, 1(Clear)(-0)
0 - 47:110.344, 1(Clear)(-0)
0 - 48:110.625, 1(Clear)(-0)
0 - 49:110.51, 1(Clear)(-0)
0 - 50:110.997, 1(Clear)(-0)
0 - 51:112.028, 1(Clear)(-0)
ROSBERG
1 - 0:119.219, 1(Clear)(-0)
1 - 1:153.686, 1(Clear)(-0)
1 - 2:145.275, 1(Clear)(-0)
1 - 3:102.375, 1(Clear)(-0)
1 - 4:100.865, 1(Clear)(-0)
1 - 5:99.84901, 1(Clear)(-0)
1 - 6:99.331, 1(Clear)(-0)
1 - 7:99.198, 1(Clear)(-0)
1 - 8:99.412, 1(Clear)(-0)
1 - 9:99.506, 1(Clear)(-0)
1 - 10:99.197, 1(Clear)(-0)
1 - 11:99.759, 1(Clear)(-0)
1 - 12:99.546, 1(Clear)(-0)
1 - 13:99.541, 1(Clear)(-0)
1 - 14:99.23599, 1(Clear)(-0)
1 - 15:99.702, 1(Clear)(-0)
1 - 16:99.254, 1(Clear)(-0)
1 - 17:99.598, 1(Clear)(-0)
1 - 18:99.44701, 1(Clear)(-0)
1 - 19:96.975, 2(Clear)(-0)
1 - 20:118.054, 0(Clear)(-0)
1 - 21:98.303, 1(Clear)(-0)
1 - 22:98.09299, 1(Clear)(-0)
1 - 23:97.403, 1(Clear)(-0)
1 - 24:97.768, 1(Clear)(-0)
1 - 25:97.547, 1(Clear)(-0)
1 - 26:97.701, 1(Clear)(-0)
1 - 27:97.73599, 1(Clear)(-0)
1 - 28:97.70499, 1(Clear)(-0)
1 - 29:97.649, 1(Clear)(-0)
1 - 30:97.475, 1(Clear)(-0)
1 - 31:97.549, 1(Clear)(-0)
1 - 32:100.063, 1(Clear)(-0)
1 - 33:131.65, 1(Clear)(-0)
1 - 34:116.994, 1(Clear)(-0)
1 - 35:99.113, 1(Clear)(-0)
1 - 36:99.322, 1(Clear)(-0)
