HAMILTON
0 - 0:85.16, 1(Clear)(-0)
0 - 1:79.511, 1(Clear)(-0)
0 - 2:79.329, 1(Clear)(-0)
0 - 3:79.075, 1(Clear)(-0)
0 - 4:79.142, 1(Clear)(-0)
0 - 5:78.697, 1(Clear)(-0)
0 - 6:78.81701, 1(Clear)(-0)
0 - 7:78.902, 1(Clear)(-0)
0 - 8:78.79299, 1(Clear)(-0)
0 - 9:78.909, 1(Clear)(-0)
0 - 10:78.469, 1(Clear)(-0)
0 - 11:78.7, 1(Clear)(-0)
0 - 12:78.331, 1(Clear)(-0)
0 - 13:78.425, 1(Clear)(-0)
0 - 14:78.386, 1(Clear)(-0)
0 - 15:78.051, 1(Clear)(-0)
0 - 16:78.328, 1(Clear)(-0)
0 - 17:78.939, 1(Clear)(-0)
0 - 18:78.455, 1(Clear)(-0)
0 - 19:78.597, 1(Clear)(-0)
0 - 20:78.375, 1(Clear)(-0)
0 - 21:78.76299, 1(Clear)(-0)
0 - 22:78.081, 1(Clear)(-0)
0 - 23:78.84701, 1(Clear)(-0)
0 - 24:78.645, 1(Clear)(-0)
0 - 25:78.617, 1(Clear)(-0)
0 - 26:78.443, 1(Clear)(-0)
0 - 27:78.632, 1(Clear)(-0)
0 - 28:94.813, 2(Clear)(-0)
0 - 29:80.971, 0(Clear)(-0)
0 - 30:78.31901, 1(Clear)(-0)
0 - 31:78.26299, 1(Clear)(-0)
0 - 32:78.923, 1(Clear)(-0)
0 - 33:78.016, 1(Clear)(-0)
0 - 34:78.45801, 1(Clear)(-0)
0 - 35:78.395, 1(Clear)(-0)
0 - 36:78.74, 1(Clear)(-0)
0 - 37:79.188, 1(Clear)(-0)
0 - 38:78.91701, 1(Clear)(-0)
0 - 39:78.827, 1(Clear)(-0)
0 - 40:78.718, 1(Clear)(-0)
0 - 41:78.471, 1(Clear)(-0)
0 - 42:78.202, 1(Clear)(-0)
0 - 43:78.35901, 1(Clear)(-0)
0 - 44:78.252, 1(Clear)(-0)
0 - 45:78.063, 1(Clear)(-0)
0 - 46:78.076, 1(Clear)(-0)
0 - 47:78.04, 1(Clear)(-0)
0 - 48:78.08701, 1(Clear)(-0)
0 - 49:78.022, 1(Clear)(-0)
0 - 50:78.27499, 1(Clear)(-0)
0 - 51:78.062, 1(Clear)(-0)
0 - 52:77.651, 1(Clear)(-0)
0 - 53:78.031, 1(Clear)(-0)
0 - 54:78.044, 1(Clear)(-0)
0 - 55:77.501, 1(Clear)(-0)
0 - 56:77.946, 1(Clear)(-0)
0 - 57:77.921, 1(Clear)(-0)
0 - 58:77.83701, 1(Clear)(-0)
0 - 59:78.56, 1(Clear)(-0)
0 - 60:77.782, 1(Clear)(-0)
0 - 61:77.97, 1(Clear)(-0)
0 - 62:78.14, 1(Clear)(-0)
0 - 63:77.472, 1(Clear)(-0)
0 - 64:77.677, 1(Clear)(-0)
0 - 65:77.616, 1(Clear)(-0)
0 - 66:77.74, 1(Clear)(-0)
0 - 67:77.93, 1(Clear)(-0)
0 - 68:78.042, 1(Clear)(-0)
0 - 69:79.409, 1(Clear)(-0)
ROSBERG
1 - 0:86.18999, 1(Clear)(-0)
1 - 1:79.79399, 1(Clear)(-0)
1 - 2:79.73199, 1(Clear)(-0)
1 - 3:79.056, 1(Clear)(-0)
1 - 4:79.101, 1(Clear)(-0)
1 - 5:79.089, 1(Clear)(-0)
1 - 6:79.109, 1(Clear)(-0)
1 - 7:79.344, 1(Clear)(-0)
1 - 8:78.909, 1(Clear)(-0)
1 - 9:78.79499, 1(Clear)(-0)
1 - 10:78.673, 1(Clear)(-0)
1 - 11:78.74, 1(Clear)(-0)
1 - 12:78.462, 1(Clear)(-0)
1 - 13:78.758, 1(Clear)(-0)
1 - 14:78.33801, 1(Clear)(-0)
1 - 15:78.23199, 1(Clear)(-0)
1 - 16:78.335, 1(Clear)(-0)
1 - 17:78.715, 1(Clear)(-0)
1 - 18:79.039, 1(Clear)(-0)
1 - 19:78.363, 1(Clear)(-0)
1 - 20:78.243, 1(Clear)(-0)
1 - 21:78.69299, 1(Clear)(-0)
1 - 22:78.715, 1(Clear)(-0)
1 - 23:79.141, 1(Clear)(-0)
1 - 24:78.396, 1(Clear)(-0)
1 - 25:78.567, 1(Clear)(-0)
1 - 26:78.22099, 1(Clear)(-0)
1 - 27:77.97, 1(Clear)(-0)
1 - 28:79.241, 1(Clear)(-0)
1 - 29:93.758, 2(Clear)(-0)
1 - 30:80.108, 0(Clear)(-0)
1 - 31:78.01, 1(Clear)(-0)
1 - 32:78.055, 1(Clear)(-0)
1 - 33:78.392, 1(Clear)(-0)
1 - 34:78.543, 1(Clear)(-0)
1 - 35:78.64, 1(Clear)(-0)
1 - 36:79.16399, 1(Clear)(-0)
1 - 37:79.049, 1(Clear)(-0)
1 - 38:78.619, 1(Clear)(-0)
1 - 39:78.55, 1(Clear)(-0)
1 - 40:78.586, 1(Clear)(-0)
1 - 41:78.199, 1(Clear)(-0)
1 - 42:78.375, 1(Clear)(-0)
1 - 43:78.322, 1(Clear)(-0)
1 - 44:78.008, 1(Clear)(-0)
1 - 45:78.27, 1(Clear)(-0)
1 - 46:77.92, 1(Clear)(-0)
1 - 47:78.161, 1(Clear)(-0)
1 - 48:78.41901, 1(Clear)(-0)
1 - 49:77.955, 1(Clear)(-0)
1 - 50:78.031, 1(Clear)(-0)
1 - 51:77.803, 1(Clear)(-0)
1 - 52:77.865, 1(Clear)(-0)
1 - 53:78.082, 1(Clear)(-0)
1 - 54:77.88801, 1(Clear)(-0)
1 - 55:77.905, 1(Clear)(-0)
1 - 56:77.882, 1(Clear)(-0)
1 - 57:78.13499, 1(Clear)(-0)
1 - 58:77.92599, 1(Clear)(-0)
1 - 59:78.215, 1(Clear)(-0)
1 - 60:77.981, 1(Clear)(-0)
1 - 61:78.084, 1(Clear)(-0)
1 - 62:77.637, 1(Clear)(-0)
1 - 63:77.661, 1(Clear)(-0)
1 - 64:78.35001, 1(Clear)(-0)
1 - 65:78.134, 1(Clear)(-0)
1 - 66:78.592, 1(Clear)(-0)
1 - 67:78.063, 1(Clear)(-0)
1 - 68:77.984, 1(Clear)(-0)
1 - 69:78.148, 1(Clear)(-0)
MASSA
2 - 0:93.643, 1(Clear)(-0)
2 - 1:82.091, 1(Clear)(-0)
2 - 2:81.516, 1(Clear)(-0)
2 - 3:81.078, 1(Clear)(-0)
2 - 4:80.963, 1(Clear)(-0)
2 - 5:81.09399, 1(Clear)(-0)
2 - 6:80.863, 1(Clear)(-0)
2 - 7:80.779, 1(Clear)(-0)
2 - 8:80.29299, 1(Clear)(-0)
2 - 9:79.364, 1(Clear)(-0)
2 - 10:79.429, 1(Clear)(-0)
2 - 11:79.397, 1(Clear)(-0)
2 - 12:79.35001, 1(Clear)(-0)
2 - 13:79.497, 1(Clear)(-0)
2 - 14:79.815, 1(Clear)(-0)
2 - 15:79.498, 1(Clear)(-0)
2 - 16:79.509, 1(Clear)(-0)
2 - 17:79.99599, 1(Clear)(-0)
2 - 18:80.047, 1(Clear)(-0)
2 - 19:79.519, 1(Clear)(-0)
2 - 20:79.678, 1(Clear)(-0)
2 - 21:79.806, 1(Clear)(-0)
2 - 22:79.714, 1(Clear)(-0)
2 - 23:79.374, 1(Clear)(-0)
2 - 24:79.44801, 1(Clear)(-0)
2 - 25:79.655, 1(Clear)(-0)
2 - 26:80.21999, 1(Clear)(-0)
2 - 27:79.823, 1(Clear)(-0)
2 - 28:80.771, 1(Clear)(-0)
2 - 29:80.78, 1(Clear)(-0)
2 - 30:79.67, 1(Clear)(-0)
2 - 31:79.741, 1(Clear)(-0)
2 - 32:79.69599, 1(Clear)(-0)
2 - 33:79.767, 1(Clear)(-0)
2 - 34:80.398, 1(Clear)(-0)
2 - 35:80.682, 1(Clear)(-0)
2 - 36:96.41701, 2(Clear)(-0)
2 - 37:79.955, 0(Clear)(-0)
2 - 38:78.173, 1(Clear)(-0)
2 - 39:78.305, 1(Clear)(-0)
2 - 40:78.54, 1(Clear)(-0)
2 - 41:78.259, 1(Clear)(-0)
2 - 42:78.80801, 1(Clear)(-0)
2 - 43:78.27499, 1(Clear)(-0)
2 - 44:78.3, 1(Clear)(-0)
2 - 45:78.22499, 1(Clear)(-0)
2 - 46:77.85801, 1(Clear)(-0)
2 - 47:77.894, 1(Clear)(-0)
2 - 48:78.173, 1(Clear)(-0)
2 - 49:77.697, 1(Clear)(-0)
2 - 50:77.916, 1(Clear)(-0)
2 - 51:77.79299, 1(Clear)(-0)
2 - 52:77.90701, 1(Clear)(-0)
2 - 53:78.30801, 1(Clear)(-0)
2 - 54:77.843, 1(Clear)(-0)
2 - 55:77.927, 1(Clear)(-0)
2 - 56:77.83, 1(Clear)(-0)
2 - 57:78.056, 1(Clear)(-0)
2 - 58:77.76199, 1(Clear)(-0)
2 - 59:77.70599, 1(Clear)(-0)
2 - 60:77.92599, 1(Clear)(-0)
2 - 61:77.983, 1(Clear)(-0)
2 - 62:77.758, 1(Clear)(-0)
2 - 63:77.553, 1(Clear)(-0)
2 - 64:78.042, 1(Clear)(-0)
2 - 65:77.718, 1(Clear)(-0)
2 - 66:77.601, 1(Clear)(-0)
2 - 67:77.583, 1(Clear)(-0)
2 - 68:77.788, 1(Clear)(-0)
2 - 69:78.683, 1(Clear)(-0)
BOTTAS
3 - 0:87.753, 1(Clear)(-0)
3 - 1:80.542, 1(Clear)(-0)
3 - 2:79.87, 1(Clear)(-0)
3 - 3:79.30701, 1(Clear)(-0)
3 - 4:79.31801, 1(Clear)(-0)
3 - 5:79.12299, 1(Clear)(-0)
3 - 6:79.09499, 1(Clear)(-0)
3 - 7:79.22399, 1(Clear)(-0)
3 - 8:79.445, 1(Clear)(-0)
3 - 9:79.26199, 1(Clear)(-0)
3 - 10:79.06599, 1(Clear)(-0)
3 - 11:79.102, 1(Clear)(-0)
3 - 12:78.89, 1(Clear)(-0)
3 - 13:78.99599, 1(Clear)(-0)
3 - 14:78.913, 1(Clear)(-0)
3 - 15:78.779, 1(Clear)(-0)
3 - 16:79.082, 1(Clear)(-0)
3 - 17:78.856, 1(Clear)(-0)
3 - 18:79.16199, 1(Clear)(-0)
3 - 19:79.109, 1(Clear)(-0)
3 - 20:79.893, 1(Clear)(-0)
3 - 21:78.952, 1(Clear)(-0)
3 - 22:79.005, 1(Clear)(-0)
3 - 23:79.091, 1(Clear)(-0)
3 - 24:79.17, 1(Clear)(-0)
3 - 25:79.161, 1(Clear)(-0)
3 - 26:79.507, 1(Clear)(-0)
3 - 27:97.332, 2(Clear)(-0)
3 - 28:80.503, 0(Clear)(-0)
3 - 29:78.316, 1(Clear)(-0)
3 - 30:78.288, 1(Clear)(-0)
3 - 31:78.979, 1(Clear)(-0)
3 - 32:78.875, 1(Clear)(-0)
3 - 33:78.913, 1(Clear)(-0)
3 - 34:78.88, 1(Clear)(-0)
3 - 35:79.303, 1(Clear)(-0)
3 - 36:78.62499, 1(Clear)(-0)
3 - 37:78.756, 1(Clear)(-0)
3 - 38:78.38901, 1(Clear)(-0)
3 - 39:78.49599, 1(Clear)(-0)
3 - 40:79.209, 1(Clear)(-0)
3 - 41:78.73, 1(Clear)(-0)
3 - 42:78.684, 1(Clear)(-0)
3 - 43:78.75999, 1(Clear)(-0)
3 - 44:78.554, 1(Clear)(-0)
3 - 45:78.828, 1(Clear)(-0)
3 - 46:78.437, 1(Clear)(-0)
3 - 47:78.669, 1(Clear)(-0)
3 - 48:78.441, 1(Clear)(-0)
3 - 49:78.618, 1(Clear)(-0)
3 - 50:78.717, 1(Clear)(-0)
3 - 51:78.62199, 1(Clear)(-0)
3 - 52:78.61, 1(Clear)(-0)
3 - 53:78.574, 1(Clear)(-0)
3 - 54:78.885, 1(Clear)(-0)
3 - 55:78.72099, 1(Clear)(-0)
3 - 56:78.606, 1(Clear)(-0)
3 - 57:78.53, 1(Clear)(-0)
3 - 58:78.372, 1(Clear)(-0)
3 - 59:78.502, 1(Clear)(-0)
3 - 60:78.37801, 1(Clear)(-0)
3 - 61:78.462, 1(Clear)(-0)
3 - 62:78.375, 1(Clear)(-0)
3 - 63:78.268, 1(Clear)(-0)
3 - 64:78.549, 1(Clear)(-0)
3 - 65:78.267, 1(Clear)(-0)
3 - 66:77.922, 1(Clear)(-0)
3 - 67:78.629, 1(Clear)(-0)
3 - 68:79.371, 1(Clear)(-0)
3 - 69:83.19299, 1(Clear)(-0)
VETTEL
4 - 0:94.928, 1(Clear)(-0)
4 - 1:81.937, 1(Clear)(-0)
4 - 2:80.966, 1(Clear)(-0)
4 - 3:81.368, 1(Clear)(-0)
4 - 4:80.413, 1(Clear)(-0)
4 - 5:80.968, 1(Clear)(-0)
4 - 6:101.133, 2(Clear)(-0)
4 - 7:81.071, 0(Clear)(-0)
4 - 8:79.97, 1(Clear)(-0)
4 - 9:78.645, 1(Clear)(-0)
4 - 10:78.482, 1(Clear)(-0)
4 - 11:78.617, 1(Clear)(-0)
4 - 12:78.835, 1(Clear)(-0)
4 - 13:78.616, 1(Clear)(-0)
4 - 14:79.49599, 1(Clear)(-0)
4 - 15:78.573, 1(Clear)(-0)
4 - 16:78.59499, 1(Clear)(-0)
4 - 17:80.881, 1(Clear)(-0)
4 - 18:82.333, 1(Clear)(-0)
4 - 19:79.334, 1(Clear)(-0)
4 - 20:78.69099, 1(Clear)(-0)
4 - 21:78.544, 1(Clear)(-0)
4 - 22:78.46, 1(Clear)(-0)
4 - 23:78.52599, 1(Clear)(-0)
4 - 24:78.12399, 1(Clear)(-0)
4 - 25:78.973, 1(Clear)(-0)
4 - 26:78.935, 1(Clear)(-0)
4 - 27:78.895, 1(Clear)(-0)
4 - 28:78.789, 1(Clear)(-0)
4 - 29:78.92, 1(Clear)(-0)
4 - 30:79.302, 1(Clear)(-0)
4 - 31:78.91701, 1(Clear)(-0)
4 - 32:78.248, 1(Clear)(-0)
4 - 33:78.362, 1(Clear)(-0)
4 - 34:96.427, 2(Clear)(-0)
4 - 35:79.905, 0(Clear)(-0)
4 - 36:77.481, 1(Clear)(-0)
4 - 37:77.299, 1(Clear)(-0)
