HAMILTON
0 - 0:105.695, 1(Clear)(-0)
0 - 1:104.678, 1(Clear)(-0)
0 - 2:104.317, 1(Clear)(-0)
0 - 3:104.317, 1(Clear)(-0)
0 - 4:104.149, 1(Clear)(-0)
0 - 5:104.102, 1(Clear)(-0)
0 - 6:104.234, 1(Clear)(-0)
0 - 7:104.178, 1(Clear)(-0)
0 - 8:104.23, 1(Clear)(-0)
0 - 9:104.492, 1(Clear)(-0)
0 - 10:104.399, 1(Clear)(-0)
0 - 11:103.935, 1(Clear)(-0)
0 - 12:103.689, 1(Clear)(-0)
0 - 13:108.299, 2(Clear)(-0)
0 - 14:122.245, 0(Clear)(-0)
0 - 15:104.222, 1(Clear)(-0)
0 - 16:104.869, 1(Clear)(-0)
0 - 17:104.078, 1(Clear)(-0)
0 - 18:104.176, 1(Clear)(-0)
0 - 19:103.905, 1(Clear)(-0)
0 - 20:103.735, 1(Clear)(-0)
0 - 21:103.696, 1(Clear)(-0)
0 - 22:103.887, 1(Clear)(-0)
0 - 23:103.592, 1(Clear)(-0)
0 - 24:103.702, 1(Clear)(-0)
0 - 25:103.508, 1(Clear)(-0)
0 - 26:103.647, 1(Clear)(-0)
0 - 27:103.644, 1(Clear)(-0)
0 - 28:103.239, 1(Clear)(-0)
0 - 29:103.008, 1(Clear)(-0)
0 - 30:102.208, 1(Clear)(-0)
0 - 31:102.297, 1(Clear)(-0)
0 - 32:107.504, 2(Clear)(-0)
0 - 33:121.001, 0(Clear)(-0)
0 - 34:103.595, 1(Clear)(-0)
0 - 35:103.697, 1(Clear)(-0)
0 - 36:103.064, 1(Clear)(-0)
0 - 37:103.125, 1(Clear)(-0)
0 - 38:102.763, 1(Clear)(-0)
0 - 39:103.816, 1(Clear)(-0)
0 - 40:103.249, 1(Clear)(-0)
0 - 41:102.948, 1(Clear)(-0)
0 - 42:103.382, 1(Clear)(-0)
0 - 43:102.766, 1(Clear)(-0)
0 - 44:103.23, 1(Clear)(-0)
0 - 45:102.954, 1(Clear)(-0)
0 - 46:102.788, 1(Clear)(-0)
0 - 47:103.339, 1(Clear)(-0)
