HAMILTON
0 - 0:101.635, 1(Clear)(-0)
0 - 1:91.345, 1(Clear)(-0)
0 - 2:90.861, 1(Clear)(-0)
0 - 3:90.201, 1(Clear)(-0)
0 - 4:90.363, 1(Clear)(-0)
0 - 5:90.101, 1(Clear)(-0)
0 - 6:90.397, 1(Clear)(-0)
0 - 7:90.675, 1(Clear)(-0)
0 - 8:89.751, 1(Clear)(-0)
0 - 9:88.71, 1(Clear)(-0)
0 - 10:89.966, 1(Clear)(-0)
0 - 11:90.486, 1(Clear)(-0)
0 - 12:88.55901, 1(Clear)(-0)
0 - 13:88.141, 1(Clear)(-0)
0 - 14:88.115, 1(Clear)(-0)
0 - 15:87.69499, 1(Clear)(-0)
0 - 16:87.862, 1(Clear)(-0)
0 - 17:87.961, 1(Clear)(-0)
0 - 18:90.955, 2(Clear)(-0)
0 - 19:107.17, 0(Clear)(-0)
0 - 20:87.013, 1(Clear)(-0)
0 - 21:87.63499, 1(Clear)(-0)
0 - 22:88.44801, 1(Clear)(-0)
0 - 23:89.23, 1(Clear)(-0)
0 - 24:88.44701, 1(Clear)(-0)
0 - 25:88.26299, 1(Clear)(-0)
0 - 26:88.321, 1(Clear)(-0)
0 - 27:88.412, 1(Clear)(-0)
0 - 28:87.45, 1(Clear)(-0)
0 - 29:87.032, 1(Clear)(-0)
0 - 30:87.303, 1(Clear)(-0)
0 - 31:86.94701, 1(Clear)(-0)
0 - 32:86.801, 1(Clear)(-0)
0 - 33:87.599, 1(Clear)(-0)
0 - 34:87.975, 1(Clear)(-0)
0 - 35:88.076, 1(Clear)(-0)
0 - 36:87.86, 1(Clear)(-0)
0 - 37:89.34901, 1(Clear)(-0)
0 - 38:88.571, 1(Clear)(-0)
0 - 39:88.672, 1(Clear)(-0)
0 - 40:89.078, 1(Clear)(-0)
0 - 41:98.98, 2(Clear)(-0)
0 - 42:129.025, 0(Clear)(-0)
0 - 43:109.706, 1(Clear)(-0)
0 - 44:117.788, 2(Clear)(-0)
0 - 45:143.815, 0(Clear)(-0)
0 - 46:143.854, 1(Clear)(-0)
0 - 47:124.969, 1(Clear)(-0)
0 - 48:95.08801, 1(Clear)(-0)
0 - 49:90.09, 1(Clear)(-0)
0 - 50:92.414, 2(Clear)(-0)
0 - 51:111.708, 0(Clear)(-0)
0 - 52:86.908, 1(Clear)(-0)
0 - 53:93.485, 2(Clear)(-0)
0 - 54:99.401, 0(Clear)(-0)
0 - 55:85.871, 1(Clear)(-0)
0 - 56:86.09599, 1(Clear)(-0)
0 - 57:86.495, 1(Clear)(-0)
0 - 58:88.112, 1(Clear)(-0)
0 - 59:88.493, 1(Clear)(-0)
0 - 60:86.012, 1(Clear)(-0)
0 - 61:86.938, 1(Clear)(-0)
0 - 62:85.839, 1(Clear)(-0)
0 - 63:86.178, 1(Clear)(-0)
0 - 64:87.249, 1(Clear)(-0)
0 - 65:88.66299, 1(Clear)(-0)
0 - 66:87.184, 1(Clear)(-0)
0 - 67:85.727, 1(Clear)(-0)
0 - 68:86.491, 1(Retire)(-0)
ROSBERG
1 - 0:95.978, 1(Clear)(-0)
1 - 1:89.499, 1(Clear)(-0)
1 - 2:88.80801, 1(Clear)(-0)
1 - 3:88.409, 1(Clear)(-0)
1 - 4:88.277, 1(Clear)(-0)
1 - 5:88.214, 1(Clear)(-0)
1 - 6:88.563, 1(Clear)(-0)
1 - 7:88.45901, 1(Clear)(-0)
1 - 8:88.69199, 1(Clear)(-0)
1 - 9:88.88801, 1(Clear)(-0)
1 - 10:89.092, 1(Clear)(-0)
1 - 11:88.658, 1(Clear)(-0)
1 - 12:88.591, 1(Clear)(-0)
1 - 13:89.027, 1(Clear)(-0)
1 - 14:88.549, 1(Clear)(-0)
1 - 15:88.27599, 1(Clear)(-0)
1 - 16:88.79399, 1(Clear)(-0)
1 - 17:88.521, 1(Clear)(-0)
1 - 18:88.531, 1(Clear)(-0)
1 - 19:91.91, 2(Clear)(-0)
1 - 20:106.432, 0(Clear)(-0)
1 - 21:88.36, 1(Clear)(-0)
1 - 22:87.97, 1(Clear)(-0)
1 - 23:89.19499, 1(Clear)(-0)
1 - 24:89.055, 1(Clear)(-0)
1 - 25:88.072, 1(Clear)(-0)
1 - 26:89.039, 1(Clear)(-0)
1 - 27:88.561, 1(Clear)(-0)
1 - 28:88.339, 1(Clear)(-0)
1 - 29:88.212, 1(Clear)(-0)
1 - 30:88.536, 1(Clear)(-0)
1 - 31:88.454, 1(Clear)(-0)
1 - 32:88.499, 1(Clear)(-0)
1 - 33:88.731, 1(Clear)(-0)
1 - 34:88.881, 1(Clear)(-0)
1 - 35:88.835, 1(Clear)(-0)
1 - 36:89.801, 1(Clear)(-0)
1 - 37:89.075, 1(Clear)(-0)
1 - 38:87.883, 1(Clear)(-0)
1 - 39:87.979, 1(Clear)(-0)
1 - 40:88.541, 1(Clear)(-0)
1 - 41:95.02599, 2(Clear)(-0)
1 - 42:128.803, 0(Clear)(-0)
1 - 43:112.056, 1(Clear)(-0)
1 - 44:121.971, 2(Clear)(-0)
1 - 45:145.394, 0(Clear)(-0)
1 - 46:145.489, 1(Clear)(-0)
1 - 47:126.108, 1(Clear)(-0)
1 - 48:88.251, 1(Clear)(-0)
1 - 49:87.394, 1(Clear)(-0)
1 - 50:87.31801, 1(Clear)(-0)
1 - 51:86.91701, 1(Clear)(-0)
1 - 52:87.083, 1(Clear)(-0)
1 - 53:87.672, 1(Clear)(-0)
1 - 54:87.569, 1(Clear)(-0)
1 - 55:87.363, 1(Clear)(-0)
1 - 56:87.453, 1(Clear)(-0)
1 - 57:87.09499, 1(Clear)(-0)
1 - 58:87.15, 1(Clear)(-0)
1 - 59:87.22399, 1(Clear)(-0)
1 - 60:87.153, 1(Clear)(-0)
1 - 61:87.052, 1(Clear)(-0)
1 - 62:87.179, 1(Clear)(-0)
1 - 63:127.418, 2(Clear)(-0)
