HAMILTON
0 - 0:89.689, 1(Clear)(-0)
0 - 1:88.033, 1(Clear)(-0)
0 - 2:88.35101, 1(Clear)(-0)
0 - 3:88.542, 1(Clear)(-0)
0 - 4:88.06499, 1(Clear)(-0)
0 - 5:87.804, 1(Clear)(-0)
0 - 6:87.78, 1(Clear)(-0)
0 - 7:87.975, 1(Clear)(-0)
0 - 8:87.85901, 1(Clear)(-0)
0 - 9:88.041, 1(Clear)(-0)
0 - 10:88.1, 1(Clear)(-0)
0 - 11:88.173, 1(Clear)(-0)
0 - 12:88.115, 1(Clear)(-0)
0 - 13:88.12299, 1(Clear)(-0)
0 - 14:88.501, 1(Clear)(-0)
0 - 15:88.519, 1(Clear)(-0)
0 - 16:88.239, 1(Clear)(-0)
0 - 17:88.31701, 1(Clear)(-0)
0 - 18:88.144, 1(Clear)(-0)
0 - 19:88.30801, 1(Clear)(-0)
0 - 20:88.375, 1(Clear)(-0)
0 - 21:88.454, 1(Clear)(-0)
0 - 22:88.13, 1(Clear)(-0)
0 - 23:88.12199, 1(Clear)(-0)
0 - 24:88.177, 1(Clear)(-0)
0 - 25:92.707, 2(Clear)(-0)
0 - 26:108.051, 0(Clear)(-0)
0 - 27:87.79599, 1(Clear)(-0)
0 - 28:87.628, 1(Clear)(-0)
0 - 29:87.679, 1(Clear)(-0)
0 - 30:87.544, 1(Clear)(-0)
0 - 31:87.68999, 1(Clear)(-0)
0 - 32:87.65, 1(Clear)(-0)
0 - 33:87.34901, 1(Clear)(-0)
0 - 34:87.12499, 1(Clear)(-0)
0 - 35:86.89, 1(Clear)(-0)
0 - 36:87.885, 1(Clear)(-0)
0 - 37:87.41, 1(Clear)(-0)
0 - 38:87.555, 1(Clear)(-0)
0 - 39:87.56, 1(Clear)(-0)
0 - 40:87.578, 1(Clear)(-0)
0 - 41:87.47701, 1(Clear)(-0)
0 - 42:87.62, 1(Clear)(-0)
0 - 43:87.582, 1(Clear)(-0)
0 - 44:87.59299, 1(Clear)(-0)
0 - 45:87.432, 1(Clear)(-0)
0 - 46:87.23299, 1(Clear)(-0)
0 - 47:86.672, 1(Clear)(-0)
0 - 48:87.036, 1(Clear)(-0)
0 - 49:86.985, 1(Clear)(-0)
0 - 50:87.05, 1(Clear)(-0)
0 - 51:88.493, 1(Clear)(-0)
0 - 52:87.482, 1(Clear)(-0)
ROSBERG
1 - 0:94.172, 1(Clear)(-0)
1 - 1:89.149, 1(Clear)(-0)
1 - 2:89.068, 1(Clear)(-0)
1 - 3:88.45801, 1(Clear)(-0)
1 - 4:89.012, 1(Clear)(-0)
1 - 5:88.869, 1(Clear)(-0)
1 - 6:88.972, 1(Clear)(-0)
1 - 7:89.27499, 1(Clear)(-0)
1 - 8:89.20399, 1(Clear)(-0)
1 - 9:88.952, 1(Clear)(-0)
1 - 10:88.757, 1(Clear)(-0)
1 - 11:88.916, 1(Clear)(-0)
1 - 12:89.09399, 1(Clear)(-0)
1 - 13:90.92, 1(Clear)(-0)
1 - 14:89.72599, 1(Clear)(-0)
1 - 15:89.47, 1(Clear)(-0)
1 - 16:89.464, 1(Clear)(-0)
1 - 17:93.56599, 2(Clear)(-0)
1 - 18:107.824, 0(Clear)(-0)
1 - 19:88.286, 1(Clear)(-0)
1 - 20:88.66199, 1(Clear)(-0)
1 - 21:88.46, 1(Clear)(-0)
1 - 22:88.353, 1(Clear)(-0)
1 - 23:88.20599, 1(Clear)(-0)
1 - 24:87.771, 1(Clear)(-0)
1 - 25:87.925, 1(Clear)(-0)
1 - 26:88.921, 1(Clear)(-0)
1 - 27:88.31701, 1(Clear)(-0)
1 - 28:88.078, 1(Clear)(-0)
1 - 29:87.656, 1(Clear)(-0)
1 - 30:87.782, 1(Clear)(-0)
1 - 31:87.832, 1(Clear)(-0)
1 - 32:87.941, 1(Clear)(-0)
1 - 33:87.544, 1(Clear)(-0)
1 - 34:88.053, 1(Clear)(-0)
1 - 35:87.753, 1(Clear)(-0)
1 - 36:87.611, 1(Clear)(-0)
1 - 37:87.55901, 1(Clear)(-0)
1 - 38:87.48901, 1(Clear)(-0)
1 - 39:87.502, 1(Clear)(-0)
1 - 40:87.33801, 1(Clear)(-0)
1 - 41:87.394, 1(Clear)(-0)
1 - 42:87.067, 1(Clear)(-0)
1 - 43:87.302, 1(Clear)(-0)
1 - 44:87.536, 1(Clear)(-0)
1 - 45:87.311, 1(Clear)(-0)
1 - 46:87.138, 1(Clear)(-0)
1 - 47:87.186, 1(Clear)(-0)
1 - 48:87.268, 1(Clear)(-0)
1 - 49:87.52299, 1(Retire)(-0)
MASSA
