HAMILTON
0 - 0:111.297, 1(Clear)
0 - 1:106.505, 1(Clear)
0 - 2:106.996, 1(Clear)
0 - 3:131.57, 2(Clear)
0 - 4:161.918, 0(Clear)
0 - 5:146.542, 1(Clear)
0 - 6:108.285, 1(Clear)
0 - 7:107.999, 1(Clear)
0 - 8:108.076, 1(Clear)
0 - 9:106.846, 1(Clear)
0 - 10:106.377, 1(Clear)
0 - 11:106.352, 1(Clear)
0 - 12:106.348, 1(Clear)
0 - 13:106.162, 1(Clear)
0 - 14:106.495, 1(Clear)
0 - 15:106.724, 1(Clear)
0 - 16:106.358, 1(Clear)
0 - 17:106.709, 1(Clear)
0 - 18:107.028, 1(Clear)
0 - 19:106.761, 1(Clear)
0 - 20:106.854, 1(Clear)
0 - 21:106.793, 1(Clear)
0 - 22:107.498, 1(Clear)
0 - 23:112.137, 2(Clear)
0 - 24:124.54, 0(Clear)
0 - 25:104.017, 1(Clear)
0 - 26:104.293, 1(Clear)
0 - 27:103.976, 1(Clear)
0 - 28:104.469, 1(Clear)
0 - 29:104.201, 1(Clear)
0 - 30:104.32, 1(Clear)
0 - 31:104.298, 1(Clear)
0 - 32:104.301, 1(Clear)
0 - 33:104.487, 1(Clear)
0 - 34:105.545, 1(Clear)
0 - 35:105.34, 1(Clear)
0 - 36:105.612, 1(Clear)
0 - 37:109.322, 2(Clear)
0 - 38:123.237, 0(Clear)
0 - 39:103.161, 1(Clear)
0 - 40:104.565, 1(Clear)
0 - 41:103.45, 1(Clear)
0 - 42:103.467, 1(Clear)
0 - 43:103.216, 1(Clear)
0 - 44:103.125, 1(Clear)
0 - 45:103.861, 1(Clear)
0 - 46:103.385, 1(Clear)
0 - 47:103.898, 1(Clear)
0 - 48:103.798, 1(Clear)
0 - 49:103.671, 1(Clear)
0 - 50:103.941, 1(Clear)
0 - 51:104.185, 1(Clear)
0 - 52:104.354, 1(Clear)
0 - 53:104.536, 1(Clear)
0 - 54:105.052, 1(Clear)
0 - 55:106.109, 1(Clear)
ROSBERG
1 - 0:112.94, 1(Clear)
1 - 1:107.18, 1(Clear)
1 - 2:107.014, 1(Clear)
1 - 3:132.99, 2(Clear)
1 - 4:165.795, 0(Clear)
1 - 5:140.879, 1(Clear)
1 - 6:108.861, 1(Clear)
1 - 7:107.441, 1(Clear)
1 - 8:107.524, 1(Clear)
1 - 9:107.92, 1(Clear)
1 - 10:108.73, 1(Clear)
1 - 11:108.493, 1(Clear)
1 - 12:108.081, 1(Clear)
1 - 13:106.481, 1(Clear)
1 - 14:106.257, 1(Clear)
1 - 15:106.258, 1(Clear)
1 - 16:106.11, 1(Clear)
1 - 17:106.699, 1(Clear)
1 - 18:106.379, 1(Clear)
1 - 19:106.568, 1(Clear)
1 - 20:107.11, 1(Clear)
1 - 21:107.078, 1(Clear)
1 - 22:107.295, 1(Clear)
1 - 23:107.571, 1(Clear)
1 - 24:107.658, 1(Clear)
1 - 25:111.325, 2(Clear)
1 - 26:124.09, 0(Clear)
1 - 27:104.655, 1(Clear)
1 - 28:104.065, 1(Clear)
1 - 29:104.441, 1(Clear)
1 - 30:104.255, 1(Clear)
1 - 31:104.065, 1(Clear)
1 - 32:104.478, 1(Clear)
1 - 33:104.604, 1(Clear)
1 - 34:104.509, 1(Clear)
1 - 35:104.497, 1(Clear)
1 - 36:104.553, 1(Clear)
1 - 37:105.564, 1(Clear)
1 - 38:105.218, 1(Clear)
1 - 39:105.241, 1(Clear)
1 - 40:108.839, 2(Clear)
1 - 41:121.041, 0(Clear)
1 - 42:102.062, 1(Clear)
1 - 43:102.552, 1(Clear)
1 - 44:103.199, 1(Clear)
1 - 45:103.59, 1(Clear)
1 - 46:103.082, 1(Clear)
1 - 47:102.704, 1(Clear)
1 - 48:102.65, 1(Clear)
1 - 49:102.907, 1(Clear)
1 - 50:104.351, 1(Clear)
1 - 51:103.359, 1(Clear)
1 - 52:103.923, 1(Clear)
1 - 53:103.966, 1(Clear)
1 - 54:104.108, 1(Clear)
1 - 55:104.898, 1(Clear)
MASSA
2 - 0:115.743, 1(Clear)
2 - 1:108.147, 1(Clear)
2 - 2:108.158, 1(Clear)
2 - 3:133.18, 2(Clear)
2 - 4:159.599, 0(Clear)
2 - 5:141.718, 1(Clear)
2 - 6:108.566, 1(Clear)
2 - 7:107.38, 1(Clear)
2 - 8:108.251, 1(Clear)
2 - 9:108.478, 1(Clear)
2 - 10:108.623, 1(Clear)
2 - 11:109.279, 1(Clear)
2 - 12:109.255, 1(Clear)
2 - 13:109.009, 1(Clear)
2 - 14:108.93, 1(Clear)
2 - 15:107.34, 1(Clear)
2 - 16:107.085, 1(Clear)
2 - 17:107.653, 1(Clear)
2 - 18:107.695, 1(Clear)
2 - 19:107.67, 1(Clear)
2 - 20:108.114, 1(Clear)
2 - 21:107.898, 1(Clear)
2 - 22:108.078, 1(Clear)
2 - 23:112.639, 2(Clear)
2 - 24:125.761, 0(Clear)
2 - 25:105.944, 1(Clear)
2 - 26:106.305, 1(Clear)
2 - 27:106.678, 1(Clear)
2 - 28:105.73, 1(Clear)
2 - 29:106.04, 1(Clear)
2 - 30:105.591, 1(Clear)
2 - 31:105.802, 1(Clear)
2 - 32:105.827, 1(Clear)
2 - 33:106.051, 1(Clear)
2 - 34:105.612, 1(Clear)
2 - 35:105.476, 1(Clear)
2 - 36:105.64, 1(Clear)
2 - 37:108.948, 2(Clear)
