HAMILTON
0 - 0:86.22599, 1(Clear)(-0)
0 - 1:80.85201, 1(Clear)(-0)
0 - 2:80.71999, 1(Clear)(-0)
0 - 3:80.241, 1(Clear)(-0)
0 - 4:80.383, 1(Clear)(-0)
0 - 5:81.58801, 1(Clear)(-0)
0 - 6:80.45, 1(Clear)(-0)
0 - 7:80.187, 1(Clear)(-0)
0 - 8:80.288, 1(Clear)(-0)
0 - 9:80.301, 1(Clear)(-0)
0 - 10:80.343, 1(Clear)(-0)
0 - 11:80.844, 1(Clear)(-0)
0 - 12:80.564, 1(Clear)(-0)
0 - 13:80.855, 1(Clear)(-0)
0 - 14:80.423, 1(Clear)(-0)
0 - 15:80.502, 1(Clear)(-0)
0 - 16:80.077, 1(Clear)(-0)
0 - 17:81.465, 1(Clear)(-0)
0 - 18:80.26399, 1(Clear)(-0)
0 - 19:80.12399, 1(Clear)(-0)
0 - 20:79.869, 1(Clear)(-0)
0 - 21:79.872, 1(Clear)(-0)
0 - 22:79.80701, 1(Clear)(-0)
0 - 23:80.129, 1(Clear)(-0)
0 - 24:81.177, 1(Clear)(-0)
0 - 25:80.755, 1(Clear)(-0)
0 - 26:79.876, 1(Clear)(-0)
0 - 27:79.903, 1(Clear)(-0)
0 - 28:79.854, 1(Clear)(-0)
0 - 29:79.748, 1(Clear)(-0)
0 - 30:81.014, 1(Clear)(-0)
0 - 31:80.148, 1(Clear)(-0)
0 - 32:81.076, 1(Clear)(-0)
0 - 33:81.254, 1(Clear)(-0)
0 - 34:80.22399, 1(Clear)(-0)
0 - 35:80.391, 1(Clear)(-0)
0 - 36:80.37901, 1(Clear)(-0)
0 - 37:96.182, 2(Clear)(-0)
0 - 38:82.938, 0(Clear)(-0)
0 - 39:80.09, 1(Clear)(-0)
0 - 40:79.867, 1(Clear)(-0)
0 - 41:78.67599, 1(Clear)(-0)
0 - 42:79.97, 1(Clear)(-0)
0 - 43:80.23399, 1(Clear)(-0)
0 - 44:79.505, 1(Clear)(-0)
0 - 45:80.258, 1(Clear)(-0)
0 - 46:80.042, 1(Clear)(-0)
0 - 47:80.007, 1(Clear)(-0)
0 - 48:80.584, 1(Clear)(-0)
0 - 49:80.257, 1(Clear)(-0)
0 - 50:79.59599, 1(Clear)(-0)
0 - 51:79.78999, 1(Clear)(-0)
0 - 52:79.884, 1(Clear)(-0)
0 - 53:80.001, 1(Clear)(-0)
0 - 54:79.936, 1(Clear)(-0)
0 - 55:80.241, 1(Clear)(-0)
0 - 56:79.702, 1(Clear)(-0)
0 - 57:79.833, 1(Clear)(-0)
0 - 58:80.078, 1(Clear)(-0)
0 - 59:79.139, 1(Clear)(-0)
0 - 60:79.391, 1(Clear)(-0)
0 - 61:79.28999, 1(Clear)(-0)
0 - 62:79.399, 1(Clear)(-0)
0 - 63:93.047, 1(Clear)(-0)
0 - 64:131.321, 2(Clear)(-0)
0 - 65:121.137, 0(Clear)(-0)
0 - 66:120.814, 1(Clear)(-0)
0 - 67:130.428, 1(Clear)(-0)
0 - 68:135.14, 1(Clear)(-0)
0 - 69:115.272, 1(Clear)(-0)
0 - 70:83.727, 1(Clear)(-0)
0 - 71:80.35701, 1(Clear)(-0)
0 - 72:79.52499, 1(Clear)(-0)
0 - 73:79.402, 1(Clear)(-0)
0 - 74:78.811, 1(Clear)(-0)
0 - 75:79.313, 1(Clear)(-0)
0 - 76:78.98701, 1(Clear)(-0)
