0,3,RICCIARDO,61
1,1,VETTEL,43
2,14,ALONSO,40
3,20,MAGNUSSEN,28
4,44,HAMILTON,27
5,7,RAIKKONEN,24
6,22,BUTTON,20
7,6,ROSBERG,19
8,8,GROSJEAN,12
9,25,VERGNE,8
10,13,MALDONADO,8
11,27,HULKENBERG,6
12,26,KVYAT,4
13,19,MASSA,2
14,77,BOTTAS,1
15,99,SUTIL,0
16,21,GUTIERREZ,0
17,11,PEREZ,0
18,10,KOBAYASHI,0
19,4,CHILTON,0
20,17,BIANCHI,0
21,9,ERICSSON,0
0,0,Red Bull Racing,104
1,1,Ferrari,64
2,2,McLaren,48
3,4,Mercedes,46
4,3,Lotus,20
5,8,Torro Rosso,12
6,6,Force India,6
7,7,Williams,3
8,5,Sauber,0
9,9,Caterham,0
10,10,Marussia,0

Sorted By: Value
Ordered: Descending

